#SKILL
Name        reserved~
SpellFun    spell_null~
Target      0
MinPos      8
MinMana     0
Beats       0
End

#SKILL
Name        acid blast~
SpellFun    spell_acid_blast~
Target      1
MinPos      7
MinMana     20
Beats       12
Damage      acid blast~
MsgOff      !Acid Blast!~
End

#SKILL
Name        armor~
SpellFun    spell_armor~
Target      2
MinPos      8
MinMana     5
Beats       12
MsgOff      You feel less armored.~
End

#SKILL
Name        bless~
SpellFun    spell_bless~
Target      5
MinPos      8
MinMana     5
Beats       12
MsgOff      You feel less righteous.~
MsgObj      $p's holy aura fades.~
End

#SKILL
Name        blindness~
SpellFun    spell_blindness~
Target      1
MinPos      7
MinMana     5
Beats       12
MsgOff      You can see again.~
End

#SKILL
Name        water breathing~
SpellFun    spell_water_breathing~
Target      2
MinPos      8
MinMana     5
Beats       12
MsgOff      You begin to breath normally again.~
End

#SKILL
Name        burning hands~
SpellFun    spell_burning_hands~
Target      1
MinPos      7
MinMana     15
Beats       12
Damage      burning hands~
MsgOff      !Burning Hands!~
End

#SKILL
Name        call lightning~
SpellFun    spell_call_lightning~
Target      0
MinPos      7
MinMana     15
Beats       12
Damage      lightning bolt~
MsgOff      !Call Lightning!~
End

#SKILL
Name        calm~
SpellFun    spell_calm~
Target      0
MinPos      7
MinMana     30
Beats       12
MsgOff      You have lost your peace of mind.~
End

#SKILL
Name        cancellation~
SpellFun    spell_cancellation~
Target      2
MinPos      7
MinMana     20
Beats       12
Damage      !cancellation!~
End

#SKILL
Name        cause critical~
SpellFun    spell_cause_critical~
Target      1
MinPos      7
MinMana     20
Beats       12
Damage      spell~
MsgOff      !Cause Critical!~
End

#SKILL
Name        cause light~
SpellFun    spell_cause_light~
Target      1
MinPos      7
MinMana     15
Beats       12
Damage      spell~
MsgOff      !Cause Light!~
End

#SKILL
Name        cause serious~
SpellFun    spell_cause_serious~
Target      1
MinPos      7
MinMana     17
Beats       12
Damage      spell~
MsgOff      !Cause Serious!~
End

#SKILL
Name        chain lightning~
SpellFun    spell_chain_lightning~
Target      1
MinPos      7
MinMana     25
Beats       12
Damage      lightning~
MsgOff      !Chain Lightning!~
End

#SKILL
Name        change sex~
SpellFun    spell_change_sex~
Target      2
MinPos      7
MinMana     15
Beats       12
MsgOff      Your body feels familiar again.~
End

#SKILL
Name        charm person~
SpellFun    spell_charm_person~
Target      1
MinPos      8
MinMana     5
Beats       12
MsgOff      You feel more self-confident.~
End

#SKILL
Name        chill touch~
SpellFun    spell_chill_touch~
Target      1
MinPos      7
MinMana     15
Beats       12
Damage      chilling touch~
MsgOff      You feel less cold.~
End

#SKILL
Name        color spray~
SpellFun    spell_color_spray~
Target      1
MinPos      7
MinMana     15
Beats       12
Damage      color spray~
MsgOff      !Color Spray!~
End

#SKILL
Name        continual light~
SpellFun    spell_continual_light~
Target      0
MinPos      8
MinMana     7
Beats       12
MsgOff      !Continual Light!~
End

#SKILL
Name        control weather~
SpellFun    spell_control_weather~
Target      0
MinPos      8
MinMana     25
Beats       12
MsgOff      !Control Weather!~
End

#SKILL
Name        create food~
SpellFun    spell_create_food~
Target      0
MinPos      8
MinMana     5
Beats       12
MsgOff      !Create Food!~
End

#SKILL
Name        create rose~
SpellFun    spell_create_rose~
Target      0
MinPos      8
MinMana     30
Beats       12
MsgOff      !Create Rose!~
End

#SKILL
Name        create spring~
SpellFun    spell_create_spring~
Target      0
MinPos      8
MinMana     20
Beats       12
MsgOff      !Create Spring!~
End

#SKILL
Name        create water~
SpellFun    spell_create_water~
Target      4
MinPos      8
MinMana     5
Beats       12
MsgOff      !Create Water!~
End

#SKILL
Name        cure blindness~
SpellFun    spell_cure_blindness~
Target      2
MinPos      7
MinMana     5
Beats       12
MsgOff      !Cure Blindness!~
End

#SKILL
Name        cure critical~
SpellFun    spell_cure_critical~
Target      2
MinPos      7
MinMana     20
Beats       12
MsgOff      !Cure Critical!~
End

#SKILL
Name        cure disease~
SpellFun    spell_cure_disease~
Target      2
MinPos      8
MinMana     20
Beats       12
MsgOff      !Cure Disease!~
End

#SKILL
Name        cure light~
SpellFun    spell_cure_light~
Target      2
MinPos      7
MinMana     10
Beats       12
MsgOff      !Cure Light!~
End

#SKILL
Name        cure poison~
SpellFun    spell_cure_poison~
Target      2
MinPos      8
MinMana     5
Beats       12
MsgOff      !Cure Poison!~
End

#SKILL
Name        cure serious~
SpellFun    spell_cure_serious~
Target      2
MinPos      7
MinMana     15
Beats       12
MsgOff      !Cure Serious!~
End

#SKILL
Name        curse~
SpellFun    spell_curse~
Target      6
MinPos      7
MinMana     20
Beats       12
Damage      curse~
MsgOff      The curse wears off.~
MsgObj      $p is no longer impure.~
End

#SKILL
Name        demonfire~
SpellFun    spell_demonfire~
Target      1
MinPos      7
MinMana     20
Beats       12
Damage      torments~
MsgOff      !Demonfire!~
End

#SKILL
Name        detect evil~
SpellFun    spell_detect_evil~
Target      3
MinPos      8
MinMana     5
Beats       12
MsgOff      The red in your vision disappears.~
End

#SKILL
Name        detect good~
SpellFun    spell_detect_good~
Target      3
MinPos      8
MinMana     5
Beats       12
MsgOff      The gold in your vision disappears.~
End

#SKILL
Name        detect hidden~
SpellFun    spell_detect_hidden~
Target      3
MinPos      8
MinMana     5
Beats       12
MsgOff      You feel less aware of your surroundings.~
End

#SKILL
Name        detect invis~
SpellFun    spell_detect_invis~
Target      3
MinPos      8
MinMana     5
Beats       12
MsgOff      You no longer see invisible objects.~
End

#SKILL
Name        detect magic~
SpellFun    spell_detect_magic~
Target      3
MinPos      8
MinMana     5
Beats       12
MsgOff      The detect magic wears off.~
End

#SKILL
Name        detect poison~
SpellFun    spell_detect_poison~
Target      4
MinPos      8
MinMana     5
Beats       12
MsgOff      !Detect Poison!~
End

#SKILL
Name        dispel evil~
SpellFun    spell_dispel_evil~
Target      1
MinPos      7
MinMana     15
Beats       12
Damage      dispel evil~
MsgOff      !Dispel Evil!~
End

#SKILL
Name        dispel good~
SpellFun    spell_dispel_good~
Target      1
MinPos      7
MinMana     15
Beats       12
Damage      dispel good~
MsgOff      !Dispel Good!~
End

#SKILL
Name        dispel magic~
SpellFun    spell_dispel_magic~
Target      1
MinPos      7
MinMana     15
Beats       12
MsgOff      !Dispel Magic!~
End

#SKILL
Name        earthquake~
SpellFun    spell_earthquake~
Target      0
MinPos      7
MinMana     15
Beats       12
Damage      earthquake~
MsgOff      !Earthquake!~
End

#SKILL
Name        enchant armor~
SpellFun    spell_enchant_armor~
Target      4
MinPos      8
MinMana     100
Beats       24
MsgOff      !Enchant Armor!~
End

#SKILL
Name        enchant weapon~
SpellFun    spell_enchant_weapon~
Target      4
MinPos      8
MinMana     100
Beats       24
MsgOff      !Enchant Weapon!~
End

#SKILL
Name        enchant person~
SpellFun    spell_enchant_person~
Target      2
MinPos      8
MinMana     25
Beats       24
Damage      enchant person~
MsgOff      The translucent blue aura around your body fades.~
End

#SKILL
Name        withering enchant~
SpellFun    spell_withering_enchant~
Target      4
MinPos      8
MinMana     25
Beats       24
MsgOff      !Withering Enchant!~
End

#SKILL
Name        sequestor~
SpellFun    spell_sequestor~
Target      4
MinPos      8
MinMana     50
Beats       24
MsgOff      !Sequestor!~
End

#SKILL
Name        interlace spirit~
SpellFun    spell_interlace_spirit~
Target      4
MinPos      8
MinMana     25
Beats       24
MsgOff      !Interlace Spirit!~
End

#SKILL
Name        wizard mark~
SpellFun    spell_wizard_mark~
Target      4
MinPos      8
MinMana     150
Beats       24
MsgOff      !Wizard Mark!~
End

#SKILL
Name        enchant gem~
SpellFun    spell_enchant_gem~
Target      4
MinPos      8
MinMana     25
Beats       24
MsgOff      !Enchant Gem!~
End

#SKILL
Name        restore weapon~
SpellFun    spell_restore_weapon~
Target      4
MinPos      8
MinMana     25
Beats       24
MsgOff      !Restore Weapon!~
End

#SKILL
Name        restore armor~
SpellFun    spell_restore_armor~
Target      4
MinPos      8
MinMana     25
Beats       24
MsgOff      !Restore Armor!~
End

#SKILL
Name        disenchant~
SpellFun    spell_disenchant~
Target      4
MinPos      8
MinMana     10
Beats       24
MsgOff      !Disenchant!~
End

#SKILL
Name        energy drain~
SpellFun    spell_energy_drain~
Target      1
MinPos      7
MinMana     35
Beats       12
Damage      energy drain~
MsgOff      !Energy Drain!~
End

#SKILL
Name        faerie fire~
SpellFun    spell_faerie_fire~
Target      1
MinPos      7
MinMana     5
Beats       12
Damage      faerie fire~
MsgOff      The pink aura around you fades away.~
End

#SKILL
Name        faerie fog~
SpellFun    spell_faerie_fog~
Target      0
MinPos      8
MinMana     12
Beats       12
Damage      faerie fog~
MsgOff      !Faerie Fog!~
End

#SKILL
Name        farsight~
SpellFun    spell_farsight~
Target      0
MinPos      8
MinMana     36
Beats       20
Damage      farsight~
MsgOff      !Farsight!~
End

#SKILL
Name        fireball~
SpellFun    spell_fireball~
Target      1
MinPos      7
MinMana     15
Beats       12
Damage      fireball~
MsgOff      !Fireball!~
End

#SKILL
Name        fireproof~
SpellFun    spell_fireproof~
Target      4
MinPos      8
MinMana     10
Beats       12
MsgObj      $p's protective aura fades.~
End

#SKILL
Name        flamestrike~
SpellFun    spell_flamestrike~
Target      1
MinPos      7
